City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Petropavlovsk-Kamchatskiy,RU,2021-12-09 21:39:29,53.0452,158.6483,18.19,73,75,6.71
95,Stuttgart,DE,2021-12-09 21:35:57,48.7823,9.177,39.65,88,75,6.91
96,Sawakin,SD,2021-12-09 21:39:30,19.1059,37.3321,77.31,72,68,11.9
97,Albany,US,2021-12-09 21:38:48,42.6001,-73.9662,31.8,64,100,3.33
98,Butaritari,KI,2021-12-09 21:39:30,3.0707,172.7902,81.93,77,99,8.46
99,Bandarbeyla,SO,2021-12-09 21:39:31,9.4942,50.8122,77.43,64,29,20.15
100,Anloga,GH,2021-12-09 21:39:32,5.7947,0.8973,82.62,83,37,8.48
101,Zhicheng,CN,2021-12-09 21:39:32,30.2956,111.5047,51.12,63,98,2.13
102,Noumea,NC,2021-12-09 21:39:33,-22.2763,166.4572,87.78,99,3,5.84
103,Batagay,RU,2021-12-09 21:39:33,67.6333,134.6333,-37.68,100,91,1.68
104,Shakawe,BW,2021-12-09 21:39:34,-18.3667,21.85,73.27,67,100,1.39
105,Polovinnoye,RU,2021-12-09 21:39:34,54.7914,65.9864,10.42,76,77,9.73
106,Constitucion,CL,2021-12-09 21:39:35,-35.3333,-72.4167,63.25,76,14,6.85
107,Mar Del Plata,AR,2021-12-09 21:39:35,-38.0023,-57.5575,69.82,89,0,28.01
108,Port Alfred,ZA,2021-12-09 21:39:36,-33.5906,26.891,70.52,91,35,8.19
109,Vorotynsk,RU,2021-12-09 21:39:36,54.4283,36.0465,12.92,87,12,8.55
110,Burnie,AU,2021-12-09 21:39:37,-41.0667,145.9167,59.92,81,45,0.98
111,Iqaluit,CA,2021-12-09 21:39:38,63.7506,-68.5145,6.53,72,75,14.97
112,Benalla,AU,2021-12-09 21:39:38,-36.55,145.9833,61.86,54,39,8.1
113,Pevek,RU,2021-12-09 21:39:39,69.7008,170.3133,-23.84,98,100,8.61
114,Dawei,MM,2021-12-09 21:39:40,14.0833,98.2,72.9,74,100,7.16
115,Mahebourg,MU,2021-12-09 21:39:40,-20.4081,57.7,73.69,88,75,10.36
116,Beipiao,CN,2021-12-09 21:39:41,41.7919,120.7792,31.3,65,2,4.97
117,Fushe-Arrez,AL,2021-12-09 21:39:42,42.0622,20.0167,37.45,100,100,1.34
118,Sao Filipe,CV,2021-12-09 21:39:43,14.8961,-24.4956,75.07,68,94,13.94
119,Avera,US,2021-12-09 21:39:43,33.194,-82.5271,53.26,66,100,5.68
120,Luderitz,NA,2021-12-09 21:39:44,-26.6481,15.1594,62.22,79,0,11.63
121,Baker City,US,2021-12-09 21:39:45,44.7749,-117.8344,36.93,57,75,4.61
122,Khatanga,RU,2021-12-09 21:39:45,71.9667,102.5,-8.68,96,100,11.36
123,Patnanungan,PH,2021-12-09 21:39:46,14.7833,122.1833,78.58,66,89,22.12
124,Ishinomaki,JP,2021-12-09 21:39:47,38.4167,141.3,41.0,83,92,6.08
125,Christchurch,NZ,2021-12-09 21:35:36,-43.5333,172.6333,63.0,79,90,6.91
126,Mwinilunga,ZM,2021-12-09 21:39:48,-11.7358,24.4293,62.65,91,35,0.94
127,Berlevag,NO,2021-12-09 21:39:48,70.8578,29.0864,24.8,63,75,16.11
128,Medicine Hat,CA,2021-12-09 21:39:42,50.0501,-110.6683,30.63,56,20,4.0
129,Jodar,ES,2021-12-09 21:39:50,37.8406,-3.3526,51.53,82,77,4.5
130,Bharatpur,IN,2021-12-09 21:39:50,27.2167,77.4833,55.87,53,0,4.45
131,Itarema,BR,2021-12-09 21:39:51,-2.9248,-39.9167,81.3,80,76,16.71
132,Vila Do Maio,CV,2021-12-09 21:39:51,15.1333,-23.2167,74.19,70,94,19.15
133,Carnarvon,AU,2021-12-09 21:39:52,-24.8667,113.6333,69.87,78,40,14.97
134,Arraial Do Cabo,BR,2021-12-09 21:39:53,-22.9661,-42.0278,73.36,83,0,8.05
135,Thompson,CA,2021-12-09 21:39:53,55.7435,-97.8558,1.56,78,90,9.22
136,Demirci,TR,2021-12-09 21:39:54,39.0461,28.6589,41.77,60,31,5.82
137,Longyearbyen,SJ,2021-12-09 21:39:55,78.2186,15.6401,24.64,80,75,4.61
138,Tiksi,RU,2021-12-09 21:39:55,71.6872,128.8694,-9.99,93,100,9.66
139,Caravelas,BR,2021-12-09 21:39:56,-17.7125,-39.2481,72.23,98,100,3.74
140,Maceio,BR,2021-12-09 21:39:56,-9.6658,-35.7353,81.84,83,40,10.36
141,Nueva Loja,EC,2021-12-09 21:39:57,0.0847,-76.8828,86.02,70,40,5.75
142,Fortuna,US,2021-12-09 21:39:57,40.5982,-124.1573,52.86,62,1,8.01
143,Mayumba,GA,2021-12-09 21:39:58,-3.432,10.6554,77.97,90,91,2.64
144,Shieli,KZ,2021-12-09 21:39:58,44.1667,66.75,36.91,26,11,13.78
145,Piacabucu,BR,2021-12-09 21:39:59,-10.4056,-36.4344,79.95,82,43,15.01
146,Arinos,BR,2021-12-09 21:39:59,-15.9169,-46.1056,74.84,78,100,2.3
147,Westport,US,2021-12-09 21:35:10,41.1415,-73.3579,38.25,61,90,1.01
148,Salalah,OM,2021-12-09 21:40:00,17.0151,54.0924,77.09,65,20,2.3
149,Vestmannaeyjar,IS,2021-12-09 21:40:00,63.4427,-20.2734,35.08,98,100,15.52
150,Kodiak,US,2021-12-09 21:40:01,57.79,-152.4072,42.31,61,75,17.27
151,Nanortalik,GL,2021-12-09 21:40:03,60.1432,-45.2371,26.1,86,100,11.41
152,Mumford,GH,2021-12-09 21:40:04,5.2618,-0.759,80.38,87,14,8.39
