City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Esperance,AU,-33.8667,121.9,64.24,57,0,6.04,clear sky
130,Upernavik,GL,72.7868,-56.1549,4.75,94,100,10.04,overcast clouds
131,Cockburn Town,TC,21.4612,-71.1419,80.19,73,4,20.83,clear sky
132,Vila Velha,BR,-20.3297,-40.2925,78.75,87,0,8.01,clear sky
133,Vardo,NO,70.3705,31.1107,28.6,87,100,16.78,overcast clouds
134,Mayumba,GA,-3.432,10.6554,77.67,91,100,5.59,moderate rain
135,Pevek,RU,69.7008,170.3133,-25.37,89,35,2.59,scattered clouds
136,Sinnamary,GF,5.3833,-52.95,77.72,89,100,8.79,overcast clouds
137,Nador,MA,35.174,-2.9287,59.25,72,75,5.75,broken clouds
138,Hamilton,US,39.1834,-84.5333,54.45,63,90,0.0,overcast clouds
139,Usevya,TZ,-7.1,31.2333,64.98,96,51,1.86,moderate rain
140,Carnarvon,AU,-24.8667,113.6333,69.87,68,0,19.57,clear sky
141,Mayo,US,38.8876,-76.5119,51.1,63,1,3.44,clear sky
142,Kendari,ID,-3.945,122.4989,77.23,92,100,2.62,overcast clouds
143,Santiago,CL,-33.4569,-70.6483,78.24,27,0,8.05,clear sky
144,Henties Bay,NA,-22.116,14.2845,59.86,95,2,9.28,clear sky
145,Faanui,PF,-16.4833,-151.75,82.06,69,30,13.31,scattered clouds
146,Folldal,NO,62.1325,9.9968,20.75,91,100,6.73,overcast clouds
147,Manado,ID,1.487,124.8455,79.57,94,40,3.44,scattered clouds
148,Nuuk,GL,64.1835,-51.7216,23.61,93,20,6.91,few clouds
149,Makakilo City,US,21.3469,-158.0858,79.12,70,75,11.5,light rain
150,Lagoa,PT,39.05,-27.9833,60.46,67,83,11.56,broken clouds
151,Korla,CN,41.7597,86.1469,21.13,59,15,3.69,few clouds
152,Narsaq,GL,60.9167,-46.05,30.42,78,100,3.42,overcast clouds
153,Karratha,AU,-20.7377,116.8463,86.32,33,0,9.53,clear sky
154,Piro,IN,25.3333,84.4167,55.4,46,66,5.79,broken clouds
155,Along,IN,28.1667,94.7667,49.17,75,12,1.66,few clouds
156,Sechura,PE,-5.5569,-80.8222,71.46,73,67,17.0,broken clouds
157,Lasa,IT,46.6166,10.7002,33.37,63,87,5.73,overcast clouds
158,Hokitika,NZ,-42.7167,170.9667,60.62,79,100,8.63,overcast clouds
159,Ijui,BR,-28.3878,-53.9147,75.22,88,66,12.86,broken clouds
160,Senneterre,CA,48.3835,-77.2328,10.62,95,55,2.68,broken clouds
161,Bethel,US,41.3712,-73.414,45.48,54,1,0.0,clear sky
162,Hanyang,CN,32.1371,105.5126,45.55,75,100,2.48,overcast clouds
163,Saskylakh,RU,71.9167,114.0833,-19.64,94,97,4.81,overcast clouds
164,Portland,US,45.5234,-122.6762,45.1,78,40,1.01,scattered clouds
165,Abrau-Dyurso,RU,44.69,37.59,45.86,57,99,7.07,overcast clouds
166,Hambantota,LK,6.1241,81.1185,75.58,84,100,4.03,light rain
167,Lufkin,US,31.3382,-94.7291,75.11,83,90,8.05,overcast clouds
168,Quelimane,MZ,-17.8786,36.8883,80.55,83,75,10.36,broken clouds
169,San Patricio,US,28.017,-97.5169,78.89,84,85,12.28,overcast clouds
170,Cayenne,GF,4.9333,-52.3333,77.09,90,0,1.01,clear sky
171,Broome,US,42.2506,-75.833,39.79,59,1,1.01,clear sky
172,San Juan,AR,-31.5375,-68.5364,78.73,33,40,19.91,scattered clouds
